index,critic_score,user_score,rating,year
3427,,,E,2008.0
3440,,6.0,E,2009.0
3442,82.0,7.9,E10+,2012.0
3444,,5.6,E,2010.0
3445,76.0,8.5,T,2010.0
3455,91.0,8.5,E,1998.0
3457,91.0,8.5,E,1998.0
3459,84.0,9.3,E,2002.0
3464,73.0,8.3,T,2005.0
3466,72.0,7.0,E,2004.0
3467,,7.6,E,2009.0
3470,70.0,,T,2001.0
3478,,,E,2008.0
3482,85.0,7.7,E,1999.0
3484,,7.7,E,2014.0
3485,64.0,6.4,E,2012.0
3486,90.0,8.0,E,2001.0
3487,,,E,2009.0
3491,,,E,2008.0
3496,61.0,7.8,T,2000.0
3500,,,E,2007.0
3502,,5.3,E10+,2008.0
3504,,,T,2010.0
3507,55.0,8.0,E,2008.0
3516,,3.8,E,2010.0
3520,,,E,2009.0
3521,77.0,7.7,E,2009.0
3523,,,M,2002.0
3529,,5.0,E,2008.0
3536,67.0,,E,2009.0
3545,,,E,2007.0
3550,,8.2,T,2015.0
3553,,,E,2008.0
3554,57.0,6.2,E,2003.0
3556,86.0,8.3,T,2015.0
3567,,,E10+,2007.0
3569,68.0,7.6,E,2004.0
3573,48.0,7.3,T,2000.0
3574,,,E,2007.0
3580,,,E,2009.0
3585,89.0,8.6,M,1999.0
3592,,7.8,E,2006.0
3593,77.0,7.8,E10+,2015.0
3598,61.0,7.5,E,2004.0
3604,55.0,7.0,E10+,2008.0
3609,,3.4,M,2014.0
3611,,4.3,E,2014.0
3624,77.0,8.5,M,2006.0
3629,85.0,8.2,E,2004.0
3635,,5.1,E,2006.0
3638,76.0,7.4,E10+,2008.0
3640,41.0,5.3,E,2006.0
3644,,,T,2000.0
3647,,6.2,E10+,2015.0
3650,49.0,5.4,T,2014.0
3658,77.0,7.5,E,2002.0
3660,71.0,7.7,E,2002.0
3663,62.0,,E,2008.0
3666,72.0,3.5,T,2015.0
3668,55.0,,E10+,2010.0
3670,77.0,6.6,E,2007.0
3673,,,E,2008.0
3677,,,E,2008.0
3678,,,E,2010.0
3686,85.0,8.7,E,2006.0
3687,72.0,6.3,E,2000.0
3689,,,E,2008.0
3695,,,E,2002.0
3700,,9.0,T,2004.0
3704,84.0,8.8,M,2004.0
3708,33.0,5.1,T,2006.0
3710,,7.0,E,2010.0
3714,66.0,9.2,E,1999.0
3716,57.0,7.8,E,2004.0
3730,47.0,,E,2011.0
3731,,,E,2010.0
3732,,,E,2010.0
3735,,,E,2009.0
3739,88.0,8.1,E,2003.0
3746,49.0,5.7,M,1999.0
3751,,,E,2011.0
3755,,,E,2006.0
3761,81.0,8.3,E,2005.0
3764,,7.9,E,2008.0
3773,,,E,2010.0
3781,74.0,8.3,E,2011.0
3783,76.0,8.6,T,2007.0
3784,72.0,7.0,E,2000.0
3786,,,E,2008.0
3788,60.0,7.9,E10+,2016.0
3792,56.0,,E,2009.0
3794,,5.9,E10+,2015.0
3796,,,E,2007.0
3808,,5.2,M,2014.0
3810,41.0,,E,2000.0
3817,77.0,8.5,T,2014.0
3819,72.0,8.0,T,2006.0
3833,70.0,,E,2008.0
3849,78.0,,E,2000.0
3850,93.0,7.3,E,2002.0
3855,52.0,,E,2005.0
3860,71.0,8.7,E,2007.0
3862,,5.0,E,2013.0
3869,94.0,8.8,T,2000.0
3870,72.0,8.6,E,2002.0
3872,,8.0,E,2008.0
3875,,,M,2001.0
3876,,5.2,E10+,2013.0
3879,78.0,7.9,E10+,2012.0
3881,,,E,2009.0
3890,84.0,7.9,E,2002.0
3895,72.0,5.3,E10+,2007.0
3898,,6.2,E,2009.0
3903,,,E,2005.0
3906,91.0,8.5,E,1998.0
3919,91.0,8.4,M,2012.0
3922,,,E,2007.0
